ts,bucket_id,side,baseline,MFE_pct,MAE_pct,end_pct,t_max_up_min,t_max_dn_min,outcome,minutes_to_resolution,ambiguous,mfe_1h_pct,missed_tp_pct,t_mfe_1h_min,mae_1h_pct,run_1h_capped
1782668512.777,10329,long,71.22,0.674,-0.0562,0.3229,21.77,1.23,TP,13.64,0,0.674,0.174,21.77,,0
1782693412.746,11107,long,70.75,1.3145,-0.3816,1.0742,22.39,1.28,SL,0.7,0,,,,0.3816,0
1782734635.698,12070,long,72.96,1.7133,-0.2056,1.3295,8.62,0.44,TP,3.34,0,2.1793,1.6793,31.32,,0
1782751204.42,12688,long,73.5,1.8639,-0.0408,1.415,25.52,1.25,TP,7.62,0,4.068,3.568,35.61,,0
1782754280.573,12831,long,75.99,0.1316,-1.158,-1.1186,1.01,29.68,SL,1.01,0,,,,1.158,0
1782792863.002,13568,long,74.12,0.0675,-0.6476,-0.2024,1.02,10.22,SL,2.29,0,,,,0.6476,0
1782809399.308,14009,long,73.44,0.4902,-0.2042,0.3132,25.54,1.54,TP,60.23,0,0.4902,-0.0098,25.54,,0
1782824820.067,14563,long,72.35,0.6496,-0.4976,-0.3317,24.39,27.94,TP,23.12,0,1.7139,1.2139,55.73,,0
1782830704.396,14873,long,73.53,0.0136,-1.3056,-0.7072,0.74,21.02,SL,0.74,0,,,,1.3056,0
1782838451.583,15067,long,73.44,0.64,-0.0545,-0.0545,15.34,21.78,TP,13.77,0,0.64,0.14,15.34,,0
1782859554.143,15371,long,73.4,0.0681,-0.1499,-0.109,22.36,19.46,TP,89.23,0,0.3815,-0.1185,49.11,,0
1782872022.447,16028,long,74.17,1.1056,-0.1753,0.9573,25.17,2.08,TP,12.99,0,1.146,0.646,31.92,,0
1782887575.223,16574,long,74.74,0.0134,-1.1105,-0.7359,0.35,6.02,SL,0.45,0,,,,1.1105,0
1782913104.22,17269,long,75.31,1.049,-0.1195,0.7834,17.38,0.53,TP,7.73,0,2.5893,2.0893,39.34,,0
1782916264.319,17516,long,76.71,0.5475,-0.5214,0.1825,20.86,3.14,SL,2.33,0,,,,0.5214,0
1782937801.049,17921,long,76.84,0.8329,-0.0651,0.7158,20.34,1.21,TP,10.1,0,1.6137,1.1137,41.97,,0
1782953628.735,18331,long,77.28,0.6858,-0.1682,0.4529,25.7,5.24,TP,22.52,0,1.8116,1.3116,47.07,,0
1782967908.216,18645,long,78.34,0.0638,-0.3702,-0.1787,0.0,11.31,SL,9.21,0,,,,0.7787,0
1782996923.384,19954,long,81.31,0.4182,-0.2214,0.246,18.03,22.32,SL,33.28,0,,,,0.7871,0
1783006546.606,20127,long,80.81,0.2475,-0.396,0.2104,29.89,1.42,SL,0.0,0,,,,0.693,1
1783048849.434,20976,long,80.79,0.1857,-0.2971,-0.0619,4.72,21.37,SL,47.59,0,,,,0.4456,0
1783064461.64,21244,long,81.15,0.4067,-0.0863,0.0,10.42,27.09,SL,49.13,0,,,,0.3204,0
1783068200.323,21340,long,81.43,0.086,-0.8596,-0.6263,0.01,17.68,SL,2.81,0,,,,0.9824,0
1783079828.969,21730,long,81.55,0.2207,-0.4782,-0.3311,4.56,23.3,SL,19.35,0,,,,0.4782,0
1783086470.817,21870,long,81.56,0.2943,-0.8092,-0.5395,5.52,26.96,SL,12.97,0,,,,0.8705,0
1783089105.424,21963,long,81.39,0.4669,-0.2703,0.4546,23.16,3.07,TP,35.24,0,0.8723,0.3723,36.27,,0
1782666906.283,10274,short,71.59,0.0838,-0.9638,-0.4749,2.67,20.18,TP,19.67,0,0.9638,0.4638,20.18,,0
1782736686.043,12249,short,73.74,0.3662,-0.9628,0.0814,25.76,14.07,TP,0.74,0,0.9628,0.4628,14.07,,0
1782745597.079,12584,short,72.84,2.1417,-0.1236,1.9907,25.5,5.71,SL,1.88,0,,,,2.1417,0
1782748030.808,12640,short,73.82,0.4877,-0.4741,-0.2303,8.06,27.2,SL,2.68,0,,,,0.4877,0
1782826352.845,14642,short,72.06,2.0677,-0.1527,2.0677,29.99,5.79,SL,0.04,0,,,,2.5257,0
1782858688.586,15350,short,73.27,0.2593,-0.0546,0.1092,9.72,0.74,SL,46.46,0,,,,0.505,0
1782912662.675,17227,short,74.99,1.4802,-0.1334,1.1201,24.74,0.79,SL,0.79,0,,,,3.0271,0
1783009886.813,20159,short,80.45,0.3356,-0.4475,0.0994,22.06,8.35,SL,20.48,0,,,,0.9198,0
1783059315.259,21145,short,81.07,0.148,-0.4687,-0.3454,3.36,24.72,SL,91.44,0,,,,0.148,0
1783065673.764,21281,short,81.17,0.1602,-0.345,-0.3326,5.93,29.74,SL,42.09,0,,,,0.4066,0
1783089289.791,21977,short,81.19,0.7144,-0.0123,0.4804,20.09,0.58,SL,5.74,0,,,,1.1208,0
1783091558.299,22071,short,81.76,0.0,-0.795,-0.795,0.58,28.9,TP,4.11,0,0.9173,0.4173,48.8,,0
